223.718 62.4308 5.93347 -1.10279 3.28297 3.0518 4.52197 422.5 199.883
180.202 70.1839 7.62414 -0.868741 5.69494 4.48169 5.46004 113 381.003
171.87 89.5776 8.79193 -0.212606 4.13634 3.92548 5.7329 125 182.609
176.142 109.573 13.9262 -0.340011 9.81257 5.66896 6.76989 74.5 364.693
155.858 133.524 25.9163 -2.8919 16.4412 6.60387 8.63646 66 375.7
273.652 201.728 44.6913 7.69166 27.2855 9.84181 13.7541 35 159.265
265.57 83.7259 7.09924 -0.251558 2.94652 3.36471 5.24186 54 363.454
333.383 78.9516 9.56796 1.0508 2.24623 2.814 6.05506 44.5 171.992
413.499 57.6252 7.57515 -0.518846 2.3476 3.00033 5.46738 97.5 365.614
422.177 162.213 15.2339 -0.564707 7.62972 5.26678 7.47275 72 364.224
489.692 200.405 9.8424 -0.126626 7.1433 5.24065 6.15598 50.5 362.68
505.038 150.392 4232.66 -148.216 2198.29 6.68724 9.31378 139 -175.855
479.467 118.043 9.66091 -0.426967 4.0327 3.9514 6.15072 99 364.314
